,Country,Continent,Region,DevName,Total
112,Mexico,Latin America and the Caribbean,Central America,Developing regions,58712
113,Monaco,Europe,Western Europe,Developed regions,29
114,Mongolia,Asia,Eastern Asia,Developing regions,952
115,Montenegro,Europe,Southern Europe,Developed regions,105
116,Morocco,Africa,Northern Africa,Developing regions,72267
117,Mozambique,Africa,Eastern Africa,Developing regions,160
118,Myanmar,Asia,South-Eastern Asia,Developing regions,9245
119,Namibia,Africa,Southern Africa,Developing regions,320
120,Nauru,Oceania,Micronesia,Developing regions,18
121,Nepal,Asia,Southern Asia,Developing regions,10222
122,Netherlands,Europe,Western Europe,Developed regions,26884
123,New Caledonia,Oceania,Melanesia,Developing regions,5
124,New Zealand,Oceania,Australia and New Zealand,Developed regions,10386
125,Nicaragua,Latin America and the Caribbean,Central America,Developing regions,12095
126,Niger,Africa,Western Africa,Developing regions,952
127,Nigeria,Africa,Western Africa,Developing regions,39732
128,Norway,Europe,Northern Europe,Developed regions,2327
129,Oman,Asia,Western Asia,Developing regions,224
130,Pakistan,Asia,Southern Asia,Developing regions,241600
131,Palau,Oceania,Micronesia,Developing regions,1
132,Panama,Latin America and the Caribbean,Central America,Developing regions,3161
133,Papua New Guinea,Oceania,Melanesia,Developing regions,64
134,Paraguay,Latin America and the Caribbean,South America,Developing regions,1944
135,Peru,Latin America and the Caribbean,South America,Developing regions,32652
136,Philippines,Asia,South-Eastern Asia,Developing regions,511391
137,Poland,Europe,Eastern Europe,Developed regions,139241
138,Portugal,Europe,Southern Europe,Developed regions,74167
139,Qatar,Asia,Western Asia,Developing regions,157
140,North Korea,Asia,Eastern Asia,Developing regions,142581
141,Republic of Moldova,Europe,Eastern Europe,Developed regions,15381
142,Romania,Europe,Eastern Europe,Developed regions,93585
143,Russia,Europe,Eastern Europe,Developed regions,63344
144,Rwanda,Africa,Eastern Africa,Developing regions,6691
145,Saint Kitts and Nevis,Latin America and the Caribbean,Caribbean,Developing regions,653
146,Saint Lucia,Latin America and the Caribbean,Caribbean,Developing regions,4802
147,Saint Vincent and the Grenadines,Latin America and the Caribbean,Caribbean,Developing regions,9707
148,Samoa,Oceania,Polynesia,Developing regions,78
149,San Marino,Europe,Southern Europe,Developed regions,5
150,Sao Tome and Principe,Africa,Middle Africa,Developing regions,10
151,Saudi Arabia,Asia,Western Asia,Developing regions,3425
152,Senegal,Africa,Western Africa,Developing regions,7362
153,Serbia,Europe,Southern Europe,Developed regions,1939
154,Seychelles,Africa,Eastern Africa,Developing regions,1266
155,Sierra Leone,Africa,Western Africa,Developing regions,3351
156,Singapore,Asia,South-Eastern Asia,Developing regions,14579
157,Slovakia,Europe,Eastern Europe,Developed regions,5963
158,Slovenia,Europe,Southern Europe,Developed regions,523
159,Somalia,Africa,Eastern Africa,Developing regions,42109
160,South Africa,Africa,Southern Africa,Developing regions,40568
161,Spain,Europe,Southern Europe,Developed regions,5018
162,Sri Lanka,Asia,Southern Asia,Developing regions,148358
163,State of Palestine,Asia,Western Asia,Developing regions,6512
164,Sudan,Africa,Northern Africa,Developing regions,18506
165,Suriname,Latin America and the Caribbean,South America,Developing regions,739
166,Swaziland,Africa,Southern Africa,Developing regions,188
167,Sweden,Europe,Northern Europe,Developed regions,5866
168,Switzerland,Europe,Western Europe,Developed regions,15678
169,Syrian Arab Republic,Asia,Western Asia,Developing regions,31485
170,Tajikistan,Asia,Central Asia,Developing regions,503
171,Thailand,Asia,South-Eastern Asia,Developing regions,9174
172,The former Yugoslav Republic of Macedonia,Europe,Southern Europe,Developed regions,4637
173,Togo,Africa,Western Africa,Developing regions,3545
174,Tonga,Oceania,Polynesia,Developing regions,142
175,Trinidad and Tobago,Latin America and the Caribbean,Caribbean,Developing regions,50016
176,Tunisia,Africa,Northern Africa,Developing regions,17583
177,Turkey,Asia,Western Asia,Developing regions,31781
178,Turkmenistan,Asia,Central Asia,Developing regions,310
179,Tuvalu,Oceania,Polynesia,Developing regions,8
180,Uganda,Africa,Eastern Africa,Developing regions,3450
181,Ukraine,Europe,Eastern Europe,Developed regions,51410
182,United Arab Emirates,Asia,Western Asia,Developing regions,836
183,United Kingdom,Europe,Northern Europe,Developed regions,551500
184,United Republic of Tanzania,Africa,Eastern Africa,Developing regions,12496
185,United States of America,Northern America,Northern America,Developed regions,241122
186,Uruguay,Latin America and the Caribbean,South America,Developing regions,4715
187,Uzbekistan,Asia,Central Asia,Developing regions,3368
188,Vanuatu,Oceania,Melanesia,Developing regions,11
189,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,South America,Developing regions,21267
190,Vietnam,Asia,South-Eastern Asia,Developing regions,97146
191,Western Sahara,Africa,Northern Africa,Developing regions,2
192,Yemen,Asia,Western Asia,Developing regions,2985
193,Zambia,Africa,Eastern Africa,Developing regions,1677
194,Zimbabwe,Africa,Eastern Africa,Developing regions,8598
